"ship_type","fuel_type","year","consumption"
"C","H2",2044,411.487957769713
"T","Oil",2044,1037.12665406427
"T","LNG",2044,972.306238185255
"T","LPG",2044,936.294896030246
"T","MeOH",2044,221.754054322953
"T","NH3",2044,290.574278078352
"T","RefPO",2044,926.005941128814
"T","H2",2044,555.603564677289
"B","Oil",2044,1148.1449752883
"B","LNG",2044,1195.98434925865
"B","LPG",2044,1063.09719934102
"B","MeOH",2044,282.00052024625
"B","NH3",2044,387.114014656593
"B","RefPO",2044,1032.72299364556
"B","H2",2044,382.714991762768
"G","Oil",2044,990.917516218721
"G","LNG",2044,817.506950880444
"G","LPG",2044,880.815569972196
"G","MeOH",2044,236.429442466221
"G","NH3",2044,328.027867437921
"G","RefPO",2044,880.815569972196
"G","H2",2044,448.272209717993
"O","Oil",2044,532.97765921974
"O","LNG",2044,499.666555518506
"O","LPG",2044,518.172724241414
"O","MeOH",2044,154.28300661624
"O","NH3",2044,220.542479677134
"O","RefPO",2044,634.497213356833
"O","H2",2044,333.111037012337
"C","Oil",2045,421.135802469136
"C","LNG",2045,694.179894179894
"C","LPG",2045,848.442092886537
"C","MeOH",2045,1108.25211176088
"C","NH3",2045,1172.92464878672
"C","RefPO",2045,401.081716637272
"C","H2",2045,1504.05643738977
"T","Oil",2045,517.295147175815
"T","LNG",2045,1039.20900102284
"T","LPG",2045,1000.71977876274
"T","MeOH",2045,1106.05870284303
"T","NH3",2045,1086.9887252078
"T","RefPO",2045,461.870667121264
"T","H2",2045,2078.41800204569
"B","Oil",2045,576.241105064881
"B","LNG",2045,1286.25246666268
"B","LPG",2045,1143.33552592238
"B","MeOH",2045,1415.32902998392
"B","NH3",2045,1457.16141510659
"B","RefPO",2045,518.312105084813
"B","H2",2045,1440.6027626622
"G","Oil",2045,490.212765957447
"G","LNG",2045,866.626139817629
"G","LPG",2045,933.738601823708
"G","MeOH",2045,1169.63045912654
"G","NH3",2045,1217.07997065297
"G","RefPO",2045,435.744680851064
"G","H2",2045,1663.22188449848
"O","Oil",2045,257.216564833673
"O","LNG",2045,516.729706139075
"O","LPG",2045,535.867843403485
"O","MeOH",2045,744.57426662379
"O","NH3",2045,798.258304656226
"O","RefPO",2045,306.210196230563
"O","H2",2045,1205.70264765784
"C","Oil",2046,415.871604938272
"C","LNG",2046,685.502645502645
"C","LPG",2046,837.836566725455
"C","MeOH",2046,1094.39896036387
"C","NH3",2046,1158.26309067688
"C","RefPO",2046,396.068195179306
"C","H2",2046,1485.2557319224
"T","Oil",2046,510.828957836118
"T","LNG",2046,1026.21888851006
"T","LPG",2046,988.210781528204
"T","MeOH",2046,1092.23296905749
"T","NH3",2046,1073.4013661427
"T","RefPO",2046,456.097283782248
"T","H2",2046,2052.43777702012
"B","Oil",2046,569.038091251569
"B","LNG",2046,1270.1743108294
"B","LPG",2046,1129.04383184835
"B","MeOH",2046,1397.63741710912
"B","NH3",2046,1438.94689741776
"B","RefPO",2046,511.833203771253
"B","H2",2046,1422.59522812892
"G","Oil",2046,484.085106382979
"G","LNG",2046,855.793313069909
"G","LPG",2046,922.066869300912
"G","MeOH",2046,1155.01007838746
"G","NH3",2046,1201.86647101981
"G","RefPO",2046,430.297872340425
"G","H2",2046,1642.43161094225
"O","Oil",2046,254.001357773252
"O","LNG",2046,510.270584812336
"O","LPG",2046,529.169495360941
"O","MeOH",2046,735.267088290992
"O","NH3",2046,788.280075848023
"O","RefPO",2046,302.382568777681
"O","H2",2046,1190.63136456212
"C","Oil",2047,410.607407407407
"C","LNG",2047,676.825396825397
"C","LPG",2047,827.231040564374
"C","MeOH",2047,1080.54580896686
"C","NH3",2047,1143.60153256705
"C","RefPO",2047,391.05467372134
"C","H2",2047,1466.45502645503
"T","Oil",2047,504.36276849642
"T","LNG",2047,1013.22877599727
"T","LPG",2047,975.701784293669
"T","MeOH",2047,1078.40723527195
"T","NH3",2047,1059.81400707761
"T","RefPO",2047,450.323900443232
"T","H2",2047,2026.45755199454
"B","Oil",2047,561.835077438259
"B","LNG",2047,1254.09615499611
"B","LPG",2047,1114.75213777432
"B","MeOH",2047,1379.94580423432
"B","NH3",2047,1420.73237972893
"B","RefPO",2047,505.354302457693
"B","H2",2047,1404.58769359565
"G","Oil",2047,477.957446808511
"G","LNG",2047,844.960486322188
"G","LPG",2047,910.395136778115
"G","MeOH",2047,1140.38969764838
"G","NH3",2047,1186.65297138665
"G","RefPO",2047,424.851063829787
"G","H2",2047,1621.64133738602
"O","Oil",2047,250.786150712831
"O","LNG",2047,503.811463485598
"O","LPG",2047,522.471147318398
"O","MeOH",2047,725.959909958195
"O","NH3",2047,778.30184703982
"O","RefPO",2047,298.554941324799
"O","H2",2047,1175.56008146639
"C","Oil",2048,405.343209876543
"C","LNG",2048,668.148148148148
"C","LPG",2048,816.625514403292
